Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud,posee_conectividad
Buenos Aires,Rivadavia,Mira Pampa,40,NO,NO,NO,NO,NO,NO,NO,NO,NO,6679040,-35.8703867348478,-63.3742010687724,NO
Buenos Aires,Rivadavia,Roosevelt,239,NO,NO,NO,NO,NO,NO,SI,NO,NO,6679050,-35.8466320155134,-63.2898118317476,SI
Buenos Aires,Rivadavia,San Mauricio,18,NO,NO,NO,NO,NO,NO,NO,NO,NO,6679060,-35.5118022821456,-63.1882154861262,NO
Buenos Aires,Rivadavia,Sansinena,522,NO,NO,NO,NO,NO,SI,SI,NO,SI,6679070,-35.2750295400617,-63.2135436741919,SI
Buenos Aires,Rivadavia,Sundblad,63,NO,NO,NO,NO,NO,NO,NO,NO,NO,6679080,-35.7656416636683,-63.1386100973601,NO
Buenos Aires,Rojas,Barrio Las Margaritas,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-34.1932374145653,-60.6820264999894,NO
Buenos Aires,Rojas,La Beba,37,NO,NO,NO,NO,NO,NO,NO,NO,NO,6686010,-34.1555633544922,-61.0121421813965,NO
Santiago del Estero,Capital,Santa María,338,NO,NO,NO,NO,NO,SI,NO,NO,NO,86049100,-27.9635432986366,-64.1529363950511,SI
Buenos Aires,Berazategui,Pereyra,1291,SI,SI,SI,NO,NO,NO,SI,NO,SI,6091010,-34.8471945391094,-58.1392765205344,SI
Buenos Aires,Berazategui,Plátanos,17961,SI,SI,NO,SI,NO,NO,NO,SI,SI,6091010,-34.7674201820877,-58.1652686003148,SI
Buenos Aires,Berazategui,Ranelagh,17183,SI,SI,SI,SI,SI,SI,SI,SI,SI,6091010,-34.7941468501172,-58.1989815634425,SI
Buenos Aires,Berazategui,Villa España,15205,SI,SI,NO,SI,NO,NO,SI,SI,SI,6091010,-34.776063416904,-58.2002532983623,SI
Buenos Aires,Berisso,Barrio Banco Provincia,0,NO,NO,NO,NO,NO,NO,NO,NO,SI,,-34.8752589900973,-57.8550856662877,SI
Buenos Aires,Berisso,Barrio El Carmen (Este),0,NO,NO,NO,SI,NO,SI,NO,SI,SI,,-34.9293102150655,-57.8853552505795,SI
Buenos Aires,Berisso,Barrio Universitario,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-34.9027528834433,-57.9270884333304,SI
Buenos Aires,Berisso,Berisso,87698,SI,SI,SI,SI,NO,SI,SI,SI,SI,6098010,-34.8746353679645,-57.8947472316799,SI
Buenos Aires,Berisso,Los Talas,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-34.9190209219847,-57.7909954962894,NO
Buenos Aires,Berisso,Villa Arguello,0,NO,NO,NO,SI,NO,SI,NO,SI,SI,,-34.9053981881099,-57.9180815078165,SI
Buenos Aires,Berisso,Villa Dolores,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-34.8802085383888,-57.8663036732616,SI
